fare_id,origin_id,destination_id
F1,ST01,ST02
F2,ST01,ST03
F2,ST01,ST04
F2,ST01,ST05
F3,ST01,ST06
F3,ST01,ST07
F3,ST01,ST08
F4,ST01,ST09
F4,ST01,ST10
F4,ST01,ST11
F4,ST01,ST12
F5,ST01,ST13
F5,ST01,ST14
F5,ST01,ST15
F5,ST01,ST16
F1,ST02,ST01
F1,ST02,ST03
F2,ST02,ST04
F2,ST02,ST05
F2,ST02,ST06
F3,ST02,ST07
F3,ST02,ST08
F3,ST02,ST09
F4,ST02,ST10
F4,ST02,ST11
F4,ST02,ST12
F4,ST02,ST13
F5,ST02,ST14
F5,ST02,ST15
F5,ST02,ST16
F2,ST03,ST01
F1,ST03,ST02
F1,ST03,ST04
F2,ST03,ST05
F2,ST03,ST06
F2,ST03,ST07
F3,ST03,ST08
F3,ST03,ST09
F3,ST03,ST10
F4,ST03,ST11
F4,ST03,ST12
F4,ST03,ST13
F4,ST03,ST14
F5,ST03,ST15
F5,ST03,ST16
F2,ST04,ST01
F2,ST04,ST02
F1,ST04,ST03
F1,ST04,ST05
F2,ST04,ST06
F2,ST04,ST07
F2,ST04,ST08
F3,ST04,ST09
F3,ST04,ST10
F3,ST04,ST11
F4,ST04,ST12
F4,ST04,ST13
F4,ST04,ST14
F4,ST04,ST15
F5,ST04,ST16
F2,ST05,ST01
F2,ST05,ST02
F2,ST05,ST03
F1,ST05,ST04
F1,ST05,ST06
F2,ST05,ST07
F2,ST05,ST08
F2,ST05,ST09
F3,ST05,ST10
F3,ST05,ST11
F3,ST05,ST12
F4,ST05,ST13
F4,ST05,ST14
F4,ST05,ST15
F4,ST05,ST16
F3,ST06,ST01
F2,ST06,ST02
F2,ST06,ST03
F2,ST06,ST04
F1,ST06,ST05
F1,ST06,ST07
F2,ST06,ST08
F2,ST06,ST09
F2,ST06,ST10
F3,ST06,ST11
F3,ST06,ST12
F3,ST06,ST13
F4,ST06,ST14
F4,ST06,ST15
F4,ST06,ST16
F3,ST07,ST01
F3,ST07,ST02
F2,ST07,ST03
F2,ST07,ST04
F2,ST07,ST05
F1,ST07,ST06
F1,ST07,ST08
F2,ST07,ST09
F2,ST07,ST10
F2,ST07,ST11
F3,ST07,ST12
F3,ST07,ST13
F3,ST07,ST14
F4,ST07,ST15
F4,ST07,ST16
F3,ST08,ST01
F3,ST08,ST02
F3,ST08,ST03
F2,ST08,ST04
F2,ST08,ST05
F2,ST08,ST06
F1,ST08,ST07
F1,ST08,ST09
F2,ST08,ST10
F2,ST08,ST11
F2,ST08,ST12
F3,ST08,ST13
F3,ST08,ST14
F3,ST08,ST15
F4,ST08,ST16
F4,ST09,ST01
F3,ST09,ST02
F3,ST09,ST03
F3,ST09,ST04
F2,ST09,ST05
F2,ST09,ST06
F2,ST09,ST07
F1,ST09,ST08
F1,ST09,ST10
F2,ST09,ST11
F2,ST09,ST12
F2,ST09,ST13
F3,ST09,ST14
F3,ST09,ST15
F3,ST09,ST16
F4,ST10,ST01
F4,ST10,ST02
F3,ST10,ST03
F3,ST10,ST04
F3,ST10,ST05
F2,ST10,ST06
F2,ST10,ST07
F2,ST10,ST08
F1,ST10,ST09
F1,ST10,ST11
F2,ST10,ST12
F2,ST10,ST13
F2,ST10,ST14
F3,ST10,ST15
F3,ST10,ST16
F4,ST11,ST01
F4,ST11,ST02
F4,ST11,ST03
F3,ST11,ST04
F3,ST11,ST05
F3,ST11,ST06
F2,ST11,ST07
F2,ST11,ST08
F2,ST11,ST09
F1,ST11,ST10
F1,ST11,ST12
F2,ST11,ST13
F2,ST11,ST14
F2,ST11,ST15
F3,ST11,ST16
F4,ST12,ST01
F4,ST12,ST02
F4,ST12,ST03
F4,ST12,ST04
F3,ST12,ST05
F3,ST12,ST06
F3,ST12,ST07
F2,ST12,ST08
F2,ST12,ST09
F2,ST12,ST10
F1,ST12,ST11
F1,ST12,ST13
F2,ST12,ST14
F2,ST12,ST15
F2,ST12,ST16
F5,ST13,ST01
F4,ST13,ST02
F4,ST13,ST03
F4,ST13,ST04
F4,ST13,ST05
F3,ST13,ST06
F3,ST13,ST07
F3,ST13,ST08
F2,ST13,ST09
F2,ST13,ST10
F2,ST13,ST11
F1,ST13,ST12
F1,ST13,ST14
F2,ST13,ST15
F2,ST13,ST16
F5,ST14,ST01
F5,ST14,ST02
F4,ST14,ST03
F4,ST14,ST04
F4,ST14,ST05
F4,ST14,ST06
F3,ST14,ST07
F3,ST14,ST08
F3,ST14,ST09
F2,ST14,ST10
F2,ST14,ST11
F2,ST14,ST12
F1,ST14,ST13
F1,ST14,ST15
F2,ST14,ST16
F5,ST15,ST01
F5,ST15,ST02
F5,ST15,ST03
F4,ST15,ST04
F4,ST15,ST05
F4,ST15,ST06
F4,ST15,ST07
F3,ST15,ST08
F3,ST15,ST09
F3,ST15,ST10
F2,ST15,ST11
F2,ST15,ST12
F2,ST15,ST13
F1,ST15,ST14
F1,ST15,ST16
F5,ST16,ST01
F5,ST16,ST02
F5,ST16,ST03
F5,ST16,ST04
F4,ST16,ST05
F4,ST16,ST06
F4,ST16,ST07
F4,ST16,ST08
F3,ST16,ST09
F3,ST16,ST10
F3,ST16,ST11
F2,ST16,ST12
F2,ST16,ST13
F2,ST16,ST14
F1,ST16,ST15
