trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint,shape_dist_traveled
R001WKRTRIP01,05:56:36,06:00:00,ST01,1,1,0.0
R001WKRTRIP01,06:02:19,06:02:39,ST02,2,1,1.83
R001WKRTRIP01,06:04:11,06:04:31,ST03,3,1,2.79
R001WKRTRIP01,06:06:05,06:06:25,ST04,4,1,3.78
R001WKRTRIP01,06:07:56,06:08:26,ST05,5,1,4.72
R001WKRTRIP01,06:11:03,06:11:23,ST06,6,1,6.77
R001WKRTRIP01,06:13:21,06:13:41,ST07,7,1,8.15
R001WKRTRIP01,06:15:30,06:15:50,ST08,8,1,9.35
R001WKRTRIP01,06:17:48,06:18:18,ST09,9,1,10.79
R001WKRTRIP01,06:20:19,06:20:39,ST10,10,1,12.09
R001WKRTRIP01,06:22:16,06:22:46,ST11,11,1,13.1
R001WKRTRIP01,06:24:26,06:24:46,ST12,12,1,14.22
R001WKRTRIP01,06:26:16,06:26:36,ST13,13,1,15.25
R001WKRTRIP01,06:27:29,06:27:49,ST14,14,1,15.72
R001WKRTRIP01,06:29:45,06:30:05,ST15,15,1,16.93
R001WKRTRIP01,06:31:47,06:35:01,ST16,16,1,18.1
R001WKLTRIP01,06:31:47,06:35:01,ST16,1,1,0.0
R001WKLTRIP01,06:36:39,06:36:59,ST15,2,1,1.18
R001WKLTRIP01,06:38:54,06:39:14,ST14,3,1,2.38
R001WKLTRIP01,06:40:06,06:40:26,ST13,4,1,2.85
R001WKLTRIP01,06:41:56,06:42:16,ST12,5,1,3.88
R001WKLTRIP01,06:43:56,06:44:16,ST11,6,1,5.01
R001WKLTRIP01,06:45:59,06:46:19,ST10,7,1,6.02
R001WKLTRIP01,06:48:21,06:48:51,ST09,8,1,7.31
R001WKLTRIP01,06:50:49,06:51:09,ST08,9,1,8.75
R001WKLTRIP01,06:53:00,06:53:20,ST07,10,1,9.96
R001WKLTRIP01,06:55:18,06:55:38,ST06,11,1,11.33
R001WKLTRIP01,06:58:16,06:58:46,ST05,12,1,13.39
R001WKLTRIP01,07:00:15,07:00:35,ST04,13,1,14.32
R001WKLTRIP01,07:02:09,07:02:29,ST03,14,1,15.31
R001WKLTRIP01,07:04:02,07:04:22,ST02,15,1,16.28
R001WKLTRIP01,07:06:46,07:10:00,ST01,16,1,18.1
R001WKPTRIP02,07:06:46,07:10:00,ST01,1,1,0.0
R001WKPTRIP02,07:12:19,07:12:39,ST02,2,1,1.83
R001WKPTRIP02,07:14:11,07:14:31,ST03,3,1,2.79
R001WKPTRIP02,07:16:05,07:16:25,ST04,4,1,3.78
R001WKPTRIP02,07:17:56,07:18:26,ST05,5,1,4.72
R001WKPTRIP02,07:21:03,07:21:23,ST06,6,1,6.77
R001WKPTRIP02,07:23:21,07:23:41,ST07,7,1,8.15
R001WKPTRIP02,07:25:30,07:25:50,ST08,8,1,9.35
R001WKPTRIP02,07:27:48,07:28:18,ST09,9,1,10.79
R001WKPTRIP02,07:30:19,07:30:39,ST10,10,1,12.09
R001WKPTRIP02,07:32:16,07:32:46,ST11,11,1,13.1
