stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
ST01,Station 1,10.1099,76.3495,ST01,1
ST02,Station 2,10.0951,76.3466,ST02,1
ST03,Station 3,10.0873,76.3428,ST03,1
ST04,Station 4,10.0793,76.3389,ST04,1
ST05,Station 5,10.0727,76.3336,ST05,1
ST06,Station 6,10.0586,76.322,ST06,1
ST07,Station 7,10.0467,76.3182,ST07,1
ST08,Station 8,10.0361,76.3144,ST08,1
ST09,Station 9,10.0251,76.3083,ST09,1
ST10,Station 10,10.0152,76.3023,ST10,1
ST11,Station 11,10.0064,76.3048,ST11,1
ST12,Station 12,10.0002,76.2989,ST12,1
ST13,Station 13,9.9943,76.2914,ST13,1
ST14,Station 14,9.9914,76.2884,ST14,1
ST15,Station 15,9.9834,76.2823,ST15,1
ST16,Station 16,9.9732,76.2851,ST16,1
