fare_id,origin_id,destination_id
F1,ALVA,PNCU
F2,ALVA,CPPY
F2,ALVA,AATK
F2,ALVA,MUTT
F3,ALVA,KLMT
F3,ALVA,CCUV
F3,ALVA,PDPM
F4,ALVA,EDAP
F4,ALVA,CGPP
F4,ALVA,PARV
F4,ALVA,JLSD
F5,ALVA,KALR
F5,ALVA,TNHL
F5,ALVA,MGRD
F5,ALVA,MACE
F5,ALVA,ERSH
F6,ALVA,KVTR
F6,ALVA,EMKM
F6,ALVA,VYTA
F6,ALVA,TKDM
F6,ALVA,PETT
F1,PNCU,ALVA
F1,PNCU,CPPY
F2,PNCU,AATK
F2,PNCU,MUTT
F2,PNCU,KLMT
F3,PNCU,CCUV
F3,PNCU,PDPM
F3,PNCU,EDAP
F4,PNCU,CGPP
F4,PNCU,PARV
F4,PNCU,JLSD
F4,PNCU,KALR
F5,PNCU,TNHL
F5,PNCU,MGRD
F5,PNCU,MACE
F5,PNCU,ERSH
F5,PNCU,KVTR
F6,PNCU,EMKM
F6,PNCU,VYTA
F6,PNCU,TKDM
F6,PNCU,PETT
F2,CPPY,ALVA
F1,CPPY,PNCU
F1,CPPY,AATK
F2,CPPY,MUTT
F2,CPPY,KLMT
F2,CPPY,CCUV
F3,CPPY,PDPM
F3,CPPY,EDAP
F3,CPPY,CGPP
F4,CPPY,PARV
F4,CPPY,JLSD
F4,CPPY,KALR
F4,CPPY,TNHL
F5,CPPY,MGRD
F5,CPPY,MACE
F5,CPPY,ERSH
F5,CPPY,KVTR
F5,CPPY,EMKM
F6,CPPY,VYTA
F6,CPPY,TKDM
F6,CPPY,PETT
F2,AATK,ALVA
F2,AATK,PNCU
F1,AATK,CPPY
F1,AATK,MUTT
F2,AATK,KLMT
F2,AATK,CCUV
F2,AATK,PDPM
F3,AATK,EDAP
F3,AATK,CGPP
F3,AATK,PARV
F4,AATK,JLSD
F4,AATK,KALR
F4,AATK,TNHL
F4,AATK,MGRD
F5,AATK,MACE
F5,AATK,ERSH
F5,AATK,KVTR
F5,AATK,EMKM
F5,AATK,VYTA
F6,AATK,TKDM
F6,AATK,PETT
F2,MUTT,ALVA
F2,MUTT,PNCU
F2,MUTT,CPPY
F1,MUTT,AATK
F1,MUTT,KLMT
F2,MUTT,CCUV
F2,MUTT,PDPM
F2,MUTT,EDAP
F3,MUTT,CGPP
F3,MUTT,PARV
F3,MUTT,JLSD
F4,MUTT,KALR
F4,MUTT,TNHL
F4,MUTT,MGRD
F4,MUTT,MACE
F5,MUTT,ERSH
F5,MUTT,KVTR
F5,MUTT,EMKM
F5,MUTT,VYTA
F5,MUTT,TKDM
F6,MUTT,PETT
F3,KLMT,ALVA
F2,KLMT,PNCU
F2,KLMT,CPPY
F2,KLMT,AATK
F1,KLMT,MUTT
F1,KLMT,CCUV
F2,KLMT,PDPM
F2,KLMT,EDAP
F2,KLMT,CGPP
F3,KLMT,PARV
F3,KLMT,JLSD
F3,KLMT,KALR
F4,KLMT,TNHL
