route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
R001,WK,R001WKR000001,Station 22,0,4,0,1
R001,WK,R001WKR000002,Station 22,0,4,0,1
R001,WK,R001WKR000003,Station 22,0,4,0,1
R001,WK,R001WKR000004,Station 22,0,4,0,1
R001,WK,R001WKR000005,Station 22,0,4,0,1
R001,WK,R001WKR000006,Station 22,0,4,0,1
R001,WK,R001WKR000007,Station 22,0,4,0,1
R001,WK,R001WKR000008,Station 22,0,4,0,1
R001,WK,R001WKR000009,Station 22,0,4,0,1
R001,WK,R001WKR000010,Station 22,0,4,0,1
R001,WK,R001WKR000011,Station 22,0,4,0,1
R001,WK,R001WKR000012,Station 22,0,4,0,1
R001,WK,R001WKR000013,Station 22,0,4,0,1
R001,WK,R001WKR000014,Station 22,0,4,0,1
R001,WK,R001WKR000015,Station 22,0,4,0,1
R001,WK,R001WKR000016,Station 22,0,4,0,1
R001,WK,R001WKR000017,Station 22,0,4,0,1
R001,WK,R001WKR000018,Station 22,0,4,0,1
R001,WK,R001WKR000019,Station 22,0,4,0,1
R001,WK,R001WKR000020,Station 22,0,4,0,1
R001,WK,R001WKR000021,Station 22,0,4,0,1
R001,WK,R001WKR000022,Station 22,0,4,0,1
R001,WK,R001WKR000023,Station 22,0,4,0,1
R001,WK,R001WKR000024,Station 22,0,4,0,1
R001,WK,R001WKR000025,Station 22,0,4,0,1
R001,WK,R001WKR000026,Station 22,0,4,0,1
R001,WK,R001WKR000027,Station 22,0,4,0,1
R001,WK,R001WKR000028,Station 22,0,4,0,1
R001,WK,R001WKR000029,Station 22,0,4,0,1
R001,WK,R001WKR000030,Station 22,0,4,0,1
R001,WK,R001WKR000031,Station 22,0,4,0,1
R001,WK,R001WKR000032,Station 22,0,4,0,1
R001,WK,R001WKR000033,Station 22,0,4,0,1
R001,WK,R001WKR000034,Station 22,0,4,0,1
R001,WK,R001WKR000035,Station 22,0,4,0,1
R001,WK,R001WKR000036,Station 22,0,4,0,1
R001,WK,R001WKR000037,Station 22,0,4,0,1
R001,WK,R001WKR000038,Station 22,0,4,0,1
R001,WK,R001WKR000039,Station 22,0,4,0,1
R001,WK,R001WKR000040,Station 22,0,4,0,1
R001,WK,R001WKR000041,Station 22,0,4,0,1
R001,WK,R001WKR000042,Station 22,0,4,0,1
R001,WK,R001WKR000043,Station 22,0,4,0,1
R001,WK,R001WKR000044,Station 22,0,4,0,1
R001,WK,R001WKR000045,Station 22,0,4,0,1
R001,WK,R001WKR000046,Station 22,0,4,0,1
R001,WK,R001WKR000047,Station 22,0,4,0,1
R001,WK,R001WKR000048,Station 22,0,4,0,1
R001,WK,R001WKR000049,Station 22,0,4,0,1
R001,WK,R001WKR000050,Station 22,0,4,0,1
R001,WK,R001WKR000051,Station 22,0,4,0,1
R001,WK,R001WKR000052,Station 22,0,4,0,1
R001,WK,R001WKR000053,Station 22,0,4,0,1
R001,WK,R001WKR000054,Station 22,0,4,0,1
R001,WK,R001WKR000055,Station 22,0,4,0,1
R001,WK,R001WKR000056,Station 22,0,4,0,1
R001,WK,R001WKR000057,Station 22,0,4,0,1
R001,WK,R001WKR000058,Station 22,0,4,0,1
R001,WK,R001WKR000059,Station 22,0,4,0,1
R001,WK,R001WKR000060,Station 22,0,4,0,1
R001,WK,R001WKR000061,Station 22,0,4,0,1
R001,WK,R001WKR000062,Station 22,0,4,0,1
R001,WK,R001WKR000063,Station 22,0,4,0,1
R001,WK,R001WKR000064,Station 22,0,4,0,1
R001,WK,R001WKR000065,Station 22,0,4,0,1
R001,WK,R001WKR000066,Station 22,0,4,0,1
R001,WK,R001WKR000067,Station 22,0,4,0,1
R001,WK,R001WKR000068,Station 22,0,4,0,1
R001,WK,R001WKR000069,Station 22,0,4,0,1
R001,WK,R001WKR000070,Station 22,0,4,0,1
R001,WK,R001WKR000071,Station 22,0,4,0,1
R001,WK,R001WKR000072,Station 22,0,4,0,1
R001,WK,R001WKR000073,Station 22,0,4,0,1
R001,WK,R001WKR000074,Station 22,0,4,0,1
R001,WK,R001WKR000075,Station 22,0,4,0,1
R001,WK,R001WKR000076,Station 22,0,4,0,1
R001,WK,R001WKR000077,Station 22,0,4,0,1
R001,WK,R001WKR000078,Station 22,0,4,0,1
R001,WK,R001WKR000079,Station 22,0,4,0,1
R001,WK,R001WKR000080,Station 22,0,4,0,1
R001,WK,R001WKR000081,Station 22,0,4,0,1
R001,WK,R001WKR000082,Station 22,0,4,0,1
R001,WK,R001WKR000083,Station 22,0,4,0,1
R001,WK,R001WKR000084,Station 22,0,4,0,1
R001,WK,R001WKR000085,Station 22,0,4,0,1
R001,WK,R001WKR000086,Station 22,0,4,0,1
R001,WK,R001WKR000087,Station 22,0,4,0,1
R001,WK,R001WKR000088,Station 22,0,4,0,1
R001,WK,R001WKR000089,Station 22,0,4,0,1
R001,WK,R001WKR000090,Station 22,0,4,0,1
R001,WK,R001WKR000091,Station 22,0,4,0,1
R001,WK,R001WKR000092,Station 22,0,4,0,1
R001,WK,R001WKR000093,Station 22,0,4,0,1
R001,WK,R001WKR000094,Station 22,0,4,0,1
R001,WK,R001WKR000095,Station 22,0,4,0,1
R001,WK,R001WKR000096,Station 22,0,4,0,1
R001,WK,R001WKR000097,Station 22,0,4,0,1
R001,WK,R001WKR000098,Station 22,0,4,0,1
R001,WK,R001WKR000099,Station 22,0,4,0,1
R001,WK,R001WKR000100,Station 22,0,4,0,1
R001,WK,R001WKR000101,Station 22,0,4,0,1
R001,WK,R001WKR000102,Station 22,0,4,0,1
R001,WK,R001WKR000103,Station 22,0,4,0,1
R001,WK,R001WKR000104,Station 22,0,4,0,1
R001,WK,R001WKR000105,Station 22,0,4,0,1
R001,WK,R001WKR000106,Station 22,0,4,0,1
R001,WK,R001WKR000107,Station 22,0,4,0,1
R001,WK,R001WKR000108,Station 22,0,4,0,1
R001,WK,R001WKR000109,Station 22,0,4,0,1
R001,WK,R001WKR000110,Station 22,0,4,0,1
R001,WK,R001WKR000111,Station 22,0,4,0,1
R001,WK,R001WKR000112,Station 22,0,4,0,1
R001,WK,R001WKR000113,Station 22,0,4,0,1
R001,WK,R001WKR000114,Station 22,0,4,0,1
R001,WK,R001WKR000115,Station 22,0,4,0,1
R001,WK,R001WKR000116,Station 22,0,4,0,1
R001,WK,R001WKR000117,Station 22,0,4,0,1
R001,WK,R001WKL000118,Station 1,0,4,0,1
R001,WK,R001WKL000119,Station 1,0,4,0,1
R001,WK,R001WKL000120,Station 1,0,4,0,1
R001,WK,R001WKL000121,Station 1,0,4,0,1
R001,WK,R001WKL000122,Station 1,0,4,0,1
R001,WK,R001WKL000123,Station 1,0,4,0,1
R001,WK,R001WKL000124,Station 1,0,4,0,1
R001,WK,R001WKL000125,Station 1,0,4,0,1
R001,WK,R001WKL000126,Station 1,0,4,0,1
R001,WK,R001WKL000127,Station 1,0,4,0,1
R001,WK,R001WKL000128,Station 1,0,4,0,1
R001,WK,R001WKL000129,Station 1,0,4,0,1
R001,WK,R001WKL000130,Station 1,0,4,0,1
R001,WK,R001WKL000131,Station 1,0,4,0,1
R001,WK,R001WKL000132,Station 1,0,4,0,1
R001,WK,R001WKL000133,Station 1,0,4,0,1
R001,WK,R001WKL000134,Station 1,0,4,0,1
R001,WK,R001WKL000135,Station 1,0,4,0,1
R001,WK,R001WKL000136,Station 1,0,4,0,1
R001,WK,R001WKL000137,Station 1,0,4,0,1
R001,WK,R001WKL000138,Station 1,0,4,0,1
R001,WK,R001WKL000139,Station 1,0,4,0,1
R001,WK,R001WKL000140,Station 1,0,4,0,1
R001,WK,R001WKL000141,Station 1,0,4,0,1
R001,WK,R001WKL000142,Station 1,0,4,0,1
R001,WK,R001WKL000143,Station 1,0,4,0,1
R001,WK,R001WKL000144,Station 1,0,4,0,1
R001,WK,R001WKL000145,Station 1,0,4,0,1
R001,WK,R001WKL000146,Station 1,0,4,0,1
R001,WK,R001WKL000147,Station 1,0,4,0,1
R001,WK,R001WKL000148,Station 1,0,4,0,1
R001,WK,R001WKL000149,Station 1,0,4,0,1
R001,WK,R001WKL000150,Station 1,0,4,0,1
R001,WK,R001WKL000151,Station 1,0,4,0,1
R001,WK,R001WKL000152,Station 1,0,4,0,1
